pah,endpoint,axis,n,df,beta,se,iqr,pct,lo,hi,t,p,fdr_family,fdr
2/3-OH-phenanthrene,Estrone (E1),estrogen reservoir,524,15,-0.00478917471743976,0.0165565555469129,1.27296567581289,-0.607790935556452,-4.97391279145248,3.95893920192332,-0.289261537755825,0.776340878486992,measured endocrine analytes,0.817328407431199
2/3-OH-phenanthrene,E1S/E1 ratio (reservoir index),estrogen reservoir,520,15,0.165526080777453,0.0422980477928342,1.27296567581289,23.4553071651876,10.0696684453621,38.4687814774011,3.91332672344975,0.00138312299314741,reservoir-ratio,0.0034326647821171
2/3-OH-phenanthrene,E1/E2 (parent : active estrogen),estrogen reservoir,524,15,0.0135189642665744,0.0177383542182048,1.27296567581289,1.73581084787755,-3.04465040662575,6.75197657770534,0.762131824648079,0.457798561200453,reservoir-ratio,0.457798561200453
2/3-OH-phenanthrene,E1S/E2 (reservoir : active estrogen),estrogen reservoir,524,15,0.177933100345687,0.0485220637038044,1.27296567581289,25.4206032972675,9.94935364019751,43.0688513452029,3.66705549524547,0.00228844318807806,reservoir-ratio,0.0034326647821171
2/3-OH-phenanthrene,"Estradiol (E2, active)",active estrogen,528,15,-0.0179552458907679,0.0215021013687392,1.27296567581289,-2.25971827124206,-7.79881921006084,3.6121510654167,-0.835046100046393,0.41679413502792,measured endocrine analytes,0.817328407431199
2/3-OH-phenanthrene,Androstenedione,androgen,528,15,-0.0232491490922028,0.0367640724027398,1.27296567581289,-2.91617144428527,-12.1330048399395,7.26746430632033,-0.632387751757072,0.536654676703513,measured endocrine analytes,0.817328407431199
2/3-OH-phenanthrene,17-OH-progesterone,steroidogenesis,528,15,-0.0444366259685792,0.0469442180756486,1.27296567581289,-5.49961709642655,-16.801283740448,7.33726156377699,-0.946583579195451,0.358851551059899,measured endocrine analytes,0.817328407431199
2/3-OH-phenanthrene,Progesterone,steroidogenesis,525,15,-0.0412176456618736,0.0960152299302416,1.27296567581289,-5.11159301541122,-26.873775379963,23.1269606335709,-0.429282372096798,0.673819817006354,measured endocrine analytes,0.817328407431199
2/3-OH-phenanthrene,SHBG,binding,523,15,0.00467139579068406,0.0181425894128721,1.27296567581289,0.596424218657554,-4.23559007532711,5.67224894446796,0.257482307755348,0.800305252167942,measured endocrine analytes,0.817328407431199
2/3-OH-phenanthrene,FSH,HPG gonadotropin,518,15,-0.00698551659545453,0.0297159402690768,1.27296567581289,-0.88529030819462,-8.56295265817374,7.43703961224884,-0.235076411252713,0.817328407431199,measured endocrine analytes,0.817328407431199
2/3-OH-phenanthrene,LH,HPG gonadotropin,524,15,0.0203836002277006,0.0262473744017879,1.27296567581289,2.62871936722697,-4.42590572543563,10.2040685700763,0.776595781188389,0.449470840057507,measured endocrine analytes,0.817328407431199
2/3-OH-phenanthrene,AMH,gonadal,520,15,0.0301974343860657,0.0556197585308972,1.27296567581289,3.91886843134239,-10.6376457582639,20.8465388774078,0.542926384142621,0.595156663264292,measured endocrine analytes,0.817328407431199
