short,code,x,fit,lo,hi,model,df
3-OH-fluorene,ln_URXP03,3.6171378039719,6.07103658030289,5.85519560050326,6.28687756010253,Linear,15
3-OH-fluorene,ln_URXP03,3.66496455154055,6.07516493823739,5.86173931026362,6.28859056621116,Linear,15
3-OH-fluorene,ln_URXP03,3.7127912991092,6.07929329617189,5.86819964874643,6.29038694359734,Linear,15
3-OH-fluorene,ln_URXP03,3.76061804667786,6.08342165410638,5.87457382317912,6.29226948503365,Linear,15
3-OH-fluorene,ln_URXP03,3.80844479424651,6.08755001204088,5.88085902487665,6.29424099920511,Linear,15
3-OH-fluorene,ln_URXP03,3.85627154181516,6.09167836997538,5.88705244038902,6.29630429956173,Linear,15
3-OH-fluorene,ln_URXP03,3.90409828938381,6.09580672790987,5.8931512637953,6.29846219202445,Linear,15
3-OH-fluorene,ln_URXP03,3.95192503695247,6.09993508584437,5.89915271011342,6.30071746157532,Linear,15
3-OH-fluorene,ln_URXP03,3.99975178452112,6.10406344377886,5.90505402976764,6.30307285779009,Linear,15
3-OH-fluorene,ln_URXP03,4.04757853208977,6.10819180171336,5.91085252402574,6.30553107940098,Linear,15
3-OH-fluorene,ln_URXP03,4.09540527965843,6.11232015964786,5.91654556128608,6.30809475800963,Linear,15
3-OH-fluorene,ln_URXP03,4.14323202722708,6.11644851758235,5.92213059406162,6.31076644110309,Linear,15
3-OH-fluorene,ln_URXP03,4.19105877479573,6.12057687551685,5.92760517647431,6.31354857455939,Linear,15
3-OH-fluorene,ln_URXP03,4.23888552236438,6.12470523345135,5.93296698204184,6.31644348486085,Linear,15
3-OH-fluorene,ln_URXP03,4.28671226993304,6.12883359138584,5.93821382150863,6.31945336126306,Linear,15
3-OH-fluorene,ln_URXP03,4.33453901750169,6.13296194932034,5.94334366044828,6.3225802381924,Linear,15
3-OH-fluorene,ln_URXP03,4.38236576507034,6.13709030725484,5.9483546363451,6.32582597816457,Linear,15
3-OH-fluorene,ln_URXP03,4.43019251263899,6.14121866518933,5.95324507485019,6.32919225552847,Linear,15
3-OH-fluorene,ln_URXP03,4.47801926020765,6.14534702312383,5.95801350490437,6.33268054134329,Linear,15
